"","tipocomprobantecodigo","comprobantecodigo"
"881","FACB2",10911
"882","FACB2",10949
"883","FACB2",11010
"884","FACB2",11257
"885","FACB2",11330
"886","FACB2",11376
"887","FACB2",11392
"888","FACB2",11429
"889","FACB2",11451
"890","FACB2",11602
"891","FACB2",11783
"892","FACB2",11818
"893","FACB2",11965
"894","FACB2",12080
"895","FACB2",12112
"896","FACB2",12364
"897","FACB2",12412
"898","FACB2",12550
"899","FACB2",12639
"900","FACB2",12712
"901","FACB2",12822
"902","FACB2",12944
"903","FACB2",12990
"904","FACB2",13021
"905","FACB2",7000
"906","FACB2",7258
"907","FACB2",7869
"908","FACB2",8777
"909","FACB2",10245
"910","FACB2",10883
"911","FACB2",11941
"912","FACB2",13023
"913","FACB2",13127
"914","FACB2",7632
"915","FACB2",8489
"916","FACB2",12344
"917","FACA2",4072
"918","FACB2",6966
"919","FACB2",7277
"920","FACB2",7643
"921","FACB2",7804
"922","FACB2",8000
"923","FACB2",8290
"924","FACB2",8903
"925","FACB2",9236
"926","FACB2",9476
"927","FACB2",10635
"928","FACB2",11475
"929","FACB2",11512
"930","FACB2",11845
"931","FACB2",12507
"932","FACB2",7864
"933","FACB2",9229
"934","FACB2",9812
"935","FACB2",7058
"936","FACB2",7552
"937","FACB2",7933
"938","FACB2",8767
"939","FACB2",9137
"940","FACB2",9289
"941","FACB2",9536
"942","FACB2",9613
"943","FACB2",10016
"944","FACB2",10295
"945","FACB2",10459
"946","FACB2",11066
"947","FACB2",11622
"948","FACB2",11918
"949","FACB2",12483
"950","FACB2",12840
"951","FACB2",13102
"952","FACB2",7265
"953","FACB2",7581
"954","FACB2",9341
"955","FACB2",11877
"956","FACA2",2377
"957","FACA2",2537
"958","FACA2",2676
"959","FACA2",2713
"960","FACA2",4042
"961","FACB2",7143
"962","FACB2",7527
"963","FACB2",7749
"964","FACB2",8002
"965","FACB2",8172
"966","FACB2",8596
"967","FACB2",9169
"968","FACB2",9646
"969","FACB2",10936
"970","FACB2",10938
"971","FACB2",11355
"972","FACB2",11472
"973","FACB2",12295
"974","FACB2",12688
"975","FACB2",12762
"976","FACB2",13190
"977","FACB2",7085
"978","FACB2",7179
"979","FACB2",7283
"980","FACB2",7716
"981","FACB2",7853
"982","FACB2",8013
"983","FACB2",8161
"984","FACB2",8579
"985","FACB2",9094
"986","FACB2",9218
"987","FACB2",9809
"988","FACB2",10229
"989","FACB2",11253
"990","FACB2",11481
"991","FACB2",11732
"992","FACB2",12250
"993","FACB2",12366
"994","FACB2",12496
"995","FACB2",13097
"996","FACB2",7042
"997","FACB2",7286
"998","FACB2",7565
"999","FACB2",8277
"1000","FACB2",9090
"1001","FACB2",10230
"1002","FACB2",12072
"1003","FACB2",12246
"1004","FACA2",2344
"1005","FACA2",2382
"1006","FACA2",2395
"1007","FACA2",2422
"1008","FACA2",2463
"1009","FACA2",2471
"1010","FACA2",2494
"1011","FACA2",2554
"1012","FACA2",2588
"1013","FACA2",2638
"1014","FACA2",2656
"1015","FACA2",2681
"1016","FACA2",2708
"1017","FACA2",2742
"1018","FACA2",2759
"1019","FACA2",2775
"1020","FACA2",2793
"1021","FACA2",2797
"1022","FACA2",2806
"1023","FACA2",2825
"1024","FACA2",2836
"1025","FACA2",2856
"1026","FACA2",2873
"1027","FACA2",2887
"1028","FACA2",2918
"1029","FACA2",2923
"1030","FACA2",2931
"1031","FACA2",2966
"1032","FACA2",2967
"1033","FACA2",2972
"1034","FACA2",2986
"1035","FACA2",3026
"1036","FACA2",3034
"1037","FACA2",3048
"1038","FACA2",3051
"1039","FACA2",3063
"1040","FACA2",3089
"1041","FACA2",3099
"1042","FACA2",3102
"1043","FACA2",3104
"1044","FACA2",3114
"1045","FACA2",3128
"1046","FACA2",3177
"1047","FACA2",3203
"1048","FACA2",3204
"1049","FACA2",3225
"1050","FACA2",3226
"1051","FACA2",3245
"1052","FACA2",3254
"1053","FACA2",3255
"1054","FACA2",3308
"1055","FACA2",3311
"1056","FACA2",3316
"1057","FACA2",3323
"1058","FACA2",3328
"1059","FACA2",3345
"1060","FACA2",3372
"1061","FACA2",3374
"1062","FACA2",3378
"1063","FACA2",3404
"1064","FACA2",3413
"1065","FACA2",3431
"1066","FACA2",3432
"1067","FACA2",3442
"1068","FACA2",3452
"1069","FACA2",3455
"1070","FACA2",3488
"1071","FACA2",3493
"1072","FACA2",3497
"1073","FACA2",3506
"1074","FACA2",3517
"1075","FACA2",3518
"1076","FACA2",3521
"1077","FACA2",3528
"1078","FACA2",3544
"1079","FACA2",3557
"1080","FACA2",3565
"1081","FACA2",3592
"1082","FACA2",3593
"1083","FACA2",3608
"1084","FACA2",3620
"1085","FACA2",3627
"1086","FACA2",3657
"1087","FACA2",3658
"1088","FACA2",3667
"1089","FACA2",3674
"1090","FACA2",3700
"1091","FACA2",3711
"1092","FACA2",3720
"1093","FACA2",3738
"1094","FACA2",3756
"1095","FACA2",3758
"1096","FACA2",3773
"1097","FACA2",3774
"1098","FACA2",3801
"1099","FACA2",3828
"1100","FACA2",3833
"1101","FACA2",3834
"1102","FACA2",3837
"1103","FACA2",3864
"1104","FACA2",3876
"1105","FACA2",3893
"1106","FACA2",3904
"1107","FACA2",3906
"1108","FACA2",3914
"1109","FACA2",3918
"1110","FACA2",3923
"1111","FACA2",3929
"1112","FACA2",3953
"1113","FACA2",3954
"1114","FACA2",4001
"1115","FACA2",4027
"1116","FACA2",4040
"1117","FACA2",4051
"1118","FACA2",4066
"1119","FACA2",4082
"1120","FACA2",4091
"1121","FACA2",4114
"1122","FACA2",4136
"1123","FACA2",4144
"1124","FACA2",4192
"1125","FACA2",4193
"1126","FACA2",4207
"1127","FACA2",4212
"1128","FACB2",6933
"1129","FACB2",7088
"1130","FACB2",7285
"1131","FACB2",7362
"1132","FACB2",7546
"1133","FACB2",7685
"1134","FACB2",7873
"1135","FACB2",8038
"1136","FACB2",8095
"1137","FACB2",8327
"1138","FACB2",8398
"1139","FACB2",8732
"1140","FACB2",8862
"1141","FACB2",9033
"1142","FACB2",9167
"1143","FACB2",9451
"1144","FACB2",9511
"1145","FACB2",9630
"1146","FACB2",9720
"1147","FACB2",9898
"1148","FACB2",10066
"1149","FACB2",10219
"1150","FACB2",10404
"1151","FACB2",10532
"1152","FACB2",10549
"1153","FACB2",10971
"1154","FACB2",11044
"1155","FACB2",11074
"1156","FACB2",11271
"1157","FACB2",11719
"1158","FACB2",11747
"1159","FACB2",12116
"1160","FACB2",12288
"1161","FACB2",12452
"1162","FACB2",12612
"1163","FACB2",12651
"1164","FACB2",12790
"1165","FACB2",12917
"1166","FACB2",13189
"1167","FACA2",2327
"1168","FACA2",2334
"1169","FACA2",2392
"1170","FACA2",2579
"1171","FACA2",2692
"1172","FACA2",2737
"1173","FACA2",2746
"1174","FACA2",2818
"1175","FACA2",2965
"1176","FACA2",3001
"1177","FACA2",3035
"1178","FACA2",3298
"1179","FACA2",3641
"1180","FACA2",3995
"1181","FACB2",7060
"1182","FACB2",8155
"1183","FACB2",8669
"1184","FACB2",10686
"1185","FACB2",12574
"1186","FACB2",7198
"1187","FACB2",7407
"1188","FACB2",7741
"1189","FACB2",8061
"1190","FACB2",9055
"1191","FACB2",9174
"1192","FACB2",10082
"1193","FACB2",11748
"1194","FACB2",12188
"1195","FACB2",12192
"1196","FACB2",6914
"1197","FACB2",7049
"1198","FACB2",7229
"1199","FACB2",7372
"1200","FACB2",7592
"1201","FACB2",7778
"1202","FACB2",7952
"1203","FACB2",8148
"1204","FACB2",8218
"1205","FACB2",8278
"1206","FACB2",8499
"1207","FACB2",8695
"1208","FACB2",8805
"1209","FACB2",8922
"1210","FACB2",9197
"1211","FACB2",9444
"1212","FACB2",9657
"1213","FACB2",9737
"1214","FACB2",9748
"1215","FACB2",9768
"1216","FACB2",9815
"1217","FACB2",9928
"1218","FACB2",10093
"1219","FACB2",10294
"1220","FACB2",10312
"1221","FACB2",10557
"1222","FACB2",10856
"1223","FACB2",11021
"1224","FACB2",11022
"1225","FACB2",11141
"1226","FACB2",11385
"1227","FACB2",11470
"1228","FACB2",11581
"1229","FACB2",11798
"1230","FACB2",11834
"1231","FACB2",11848
"1232","FACB2",11888
"1233","FACB2",12212
"1234","FACB2",12330
"1235","FACB2",12444
"1236","FACB2",12685
"1237","FACB2",12777
"1238","FACB2",12827
"1239","FACB2",13079
"1240","FACB2",13185
"1241","FACB2",6985
"1242","FACB2",7108
"1243","FACB2",7148
