"","id","tipo","periodo","monto","mandatarios06","recibos"
"333",244,"Detectar","",181482,NA,NA
"334",244,"Detectar","2022",19590,NA,NA
"335",244,"Reg-Cov","",18630,NA,NA
"336",244,"Reg-Cov","2021",186814,186814,NA
"337",244,"Reg-Cov","2022",326025,NA,NA
"338",244,"Reg-Cov","A Vencer",128826,NA,NA
"339",244,"Turismo","2021",155000,155000,NA
"340",247,"Detectar","2022",54733,NA,NA
"341",247,"Reg-Cov","2017",8118,NA,NA
"342",247,"Reg-Cov","2019",23000,NA,NA
"343",247,"Reg-Cov","2020",31989,NA,NA
"344",247,"Reg-Cov","2022",1167522.06,NA,NA
"345",249,"Reg-Cov","",1060,NA,NA
"346",249,"Reg-Cov","A Vencer",28958,NA,28958
"347",250,"Detectar","",2971405,NA,NA
"348",250,"Detectar","2021",5422942,NA,NA
"349",250,"Detectar","2022",4067034,NA,NA
"350",250,"Detectar","A Vencer",909542,NA,NA
"351",250,"Reg-Cov","",8957591.42,NA,NA
"352",250,"Reg-Cov","2019",2739675.16,NA,NA
"353",250,"Reg-Cov","2020",17762162.91,NA,NA
"354",250,"Reg-Cov","2021",28999900.88,NA,NA
"355",250,"Reg-Cov","2022",37507323.37,NA,NA
"356",250,"Reg-Cov","A Vencer",4958989.82,NA,NA
"357",250,"Turismo","2021",2786860,NA,NA
"358",251,"Detectar","2021",7366,NA,NA
"359",251,"Detectar","2022",14732,NA,NA
"360",251,"Detectar","A Vencer",2040926,NA,NA
"361",251,"Reg-Cov","",631136.16,NA,NA
"362",251,"Reg-Cov","2020",39460.76,NA,NA
"363",251,"Reg-Cov","2021",1592627.6,NA,NA
"364",251,"Reg-Cov","2022",1183235.39,NA,NA
"365",251,"Reg-Cov","A Vencer",4475444.83,NA,3203393.02
"366",251,"Turismo","2021",37500,NA,NA
"367",252,"Detectar","",5525216,NA,NA
"368",252,"Detectar","2022",3191998,NA,NA
"369",252,"Reg-Cov","",3782836.86,NA,NA
"370",252,"Reg-Cov","2022",20931731.13,NA,6961933.66
