"","date","count"
"312",2020-11-07 11:40:00,39
"313",2020-11-08 11:40:00,40
"314",2020-11-09 11:40:00,36
"315",2020-11-10 11:40:00,34
"316",2020-11-11 11:40:00,30
"317",2020-11-12 11:40:00,30
"318",2020-11-13 11:40:00,29
"319",2020-11-14 11:40:00,31
"320",2020-11-15 11:40:00,32
"321",2020-11-16 11:40:00,29
"322",2020-11-17 11:40:00,28
"323",2020-11-18 11:40:00,27
"324",2020-11-19 11:40:00,29
"325",2020-11-20 11:40:00,28
"326",2020-11-21 11:40:00,26
"327",2020-11-22 11:40:00,26
"328",2020-11-23 11:40:00,27
"329",2020-11-24 11:40:00,27
"330",2020-11-25 11:40:00,29
"331",2020-11-26 11:40:00,29
"332",2020-11-27 11:40:00,28
"333",2020-11-28 11:40:00,28
"334",2020-11-29 11:40:00,25
"335",2020-11-30 11:40:00,26
"336",2020-12-01 11:40:00,26
"337",2020-12-02 11:40:00,24
"338",2020-12-03 11:40:00,25
"339",2020-12-04 11:40:00,25
"340",2020-12-05 11:40:00,26
"341",2020-12-06 11:40:00,25
"342",2020-12-07 11:40:00,25
"343",2020-12-08 11:40:00,24
"344",2020-12-09 11:40:00,22
"345",2020-12-10 11:40:00,20
"346",2020-12-11 11:40:00,21
"347",2020-12-12 11:40:00,24
"348",2020-12-13 11:40:00,22
"349",2020-12-14 11:40:00,22
"350",2020-12-15 11:40:00,20
"351",2020-12-16 11:40:00,23
"352",2020-12-17 11:40:00,23
"353",2020-12-18 11:40:00,22
"354",2020-12-19 11:40:00,21
"355",2020-12-20 11:40:00,24
"356",2020-12-21 11:40:00,24
"357",2020-12-22 11:40:00,24
"358",2020-12-23 11:40:00,24
"359",2020-12-24 11:40:00,24
"360",2020-12-25 11:40:00,23
"361",2020-12-26 11:40:00,24
"362",2020-12-27 11:40:00,26
"363",2020-12-28 11:40:00,22
"364",2020-12-29 11:40:00,19
"365",2020-12-30 11:40:00,19
"366",2020-12-31 11:40:00,16
"367",2021-01-01 11:40:00,15
"368",2021-01-02 11:40:00,15
"369",2021-01-03 11:40:00,15
"370",2021-01-04 11:40:00,13
"371",2021-01-05 11:40:00,11
"372",2021-01-06 11:40:00,8
"373",2021-01-07 11:40:00,8
"374",2021-01-08 11:40:00,8
"375",2021-01-09 11:40:00,7
"376",2021-01-10 11:40:00,7
"377",2021-01-11 11:40:00,6
"378",2021-01-12 11:40:00,4
"379",2021-01-13 11:40:00,1
"380",2021-01-14 11:40:00,1
