"","Nro Intimacion","Factura","Cliente","Emision","Importe","Vencimiento","Fecha Intimacion","Recepcion Intimacion","Imputacion","Fecha Imputacion","Importe Imputacion","Saldo"
"87",1857,"FACA2 - 3629","5 - SOC ITALIANA BENEFICENCIA",2020-10-26,60258,2020-12-06,2021-01-28 00:00:00,2021-02-01,"RECX2 - 8882",2021-03-03,48544,0
"88",1857,"FACA2 - 3659","5 - SOC ITALIANA BENEFICENCIA",2020-10-29,30956,2020-12-10,2021-01-28 00:00:00,2021-02-01,"RECX2 - 8882",2021-03-03,30956,0
"89",1909,"FACB2 - 8820","199 - OSPIC",2020-06-30,34666,2020-08-16,2021-02-11 00:00:00,2021-02-22,"RECX2 - 8889",2021-03-03,19866,0
"90",1909,"FACB2 - 10400","199 - OSPIC",2020-09-16,23786,2020-10-21,2021-02-11 00:00:00,2021-02-22,"RECX2 - 8889",2021-03-03,23786,0
"91",1866,"FACB2 - 10887","252 - OSPEDYC",2020-10-13,176460,2020-11-19,2021-01-28 00:00:00,2021-02-01,"NCB - 4533",2021-03-04,5162,0
"92",1920,"FACB2 - 8409","514 - OSPLA",2020-06-03,43076,2020-07-24,2021-02-25 00:00:00,2021-03-01,"RECX2 - 8901",2021-03-05,43076,0
"93",1806,"FACA2 - 3478","250 - OSPLAD",2020-09-25,116019.5,2020-11-05,2021-01-21 00:00:00,2021-01-27,"NCA - 1575",2021-03-09,5301,110718.5
"94",1806,"FACA2 - 3450","250 - OSPLAD",2020-09-24,106518,2020-11-01,2021-01-21 00:00:00,2021-01-27,"RECX2 - 8932",2021-03-09,17086,89432
"95",1806,"FACA2 - 3508","250 - OSPLAD",2020-10-07,127144,2020-11-14,2021-01-21 00:00:00,2021-01-27,"RECX2 - 8933",2021-03-09,68106,59038
"96",1806,"FACA2 - 3550","250 - OSPLAD",2020-10-19,123720,2020-11-25,2021-01-21 00:00:00,2021-01-27,"RECX2 - 8934",2021-03-09,36050,87670
"97",1776,"FACB2 - 10094","576 - OSPSIP",2020-08-26,653071.11,2020-09-26,2021-01-07 00:00:00,2021-01-19,"NCB - 4557",2021-03-09,24949.2,628121.91
"98",1773,"FACA2 - 2924","227 - ANDAR",2020-07-13,49997,2020-09-06,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8965",2021-03-09,5478,269
"99",1836,"FACB2 - 9643","378 - OSCEP",2020-08-12,41110,2020-10-10,2021-01-28 00:00:00,2021-02-02,"RECX2 - 8990",2021-03-10,41110,0
"100",1836,"FACB2 - 9867","378 - OSCEP",2020-08-19,50444,2020-10-01,2021-01-28 00:00:00,2021-02-02,"RECX2 - 8990",2021-03-10,50444,0
"101",1836,"FACB2 - 10240","378 - OSCEP",2020-09-10,58306,2020-10-14,2021-01-28 00:00:00,2021-02-02,"RECX2 - 8990",2021-03-10,58306,0
"102",1904,"FACB2 - 10485","138 - OSCAMGLYP",2020-09-21,51208,2020-11-01,2021-02-11 00:00:00,2021-02-17,"RECX2 - 8994",2021-03-10,51208,0
"103",1802,"FACB2 - 10045","251 - OSDOP",2020-08-25,241363.3,2020-09-24,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8976",2021-03-12,41524,0
"104",1802,"FACB2 - 8955","251 - OSDOP",2020-07-13,64480,2020-09-11,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8978",2021-03-12,7400,0
"105",1802,"FACB2 - 10764","251 - OSDOP",2020-09-29,291796.42,2020-11-01,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8985",2021-03-12,140730,0
"106",1802,"FACB2 - 8543","251 - OSDOP",2020-06-16,50670,2020-08-01,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8984",2021-03-12,35590,0
"107",1802,"FACB2 - 8728","251 - OSDOP",2020-06-23,680544.75,2020-07-24,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8984",2021-03-12,91429.35,0
"108",1814,"FACB2 - 6769","611 - ASOCIACION MUTUAL SANCOR",2019-12-17,90479,2020-02-06,2021-01-21 00:00:00,2021-01-28,"RECX2 - 9009",2021-03-15,80612.12,0
